date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:55	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2006%20May%202021%2009:31:47%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/data-table/buttons.dataTables.min.js	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/data-table/buttons.dataTables.min.1ec.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-export.html)
15:02:58	119327/119327	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20May%202021%2009:31:49%20GMT	http://webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/data-table/buttons.dataTables.min.js	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/data-table/buttons.dataTables.min.1ed.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-export.html)
15:03:00	16036/16036	---M--	200	added ('OK')	application/javascript	date:Wed,%2001%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/data-table/dataTables.buttons.min.js	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/data-table/dataTables.buttons.min.js	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-export.html)
15:03:03	25187/25187	---M--	200	added ('OK')	application/javascript	date:Wed,%2001%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/data-table/buttons.flash.min.js	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/data-table/buttons.flash.min.js	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-export.html)
15:03:10	216172/216172	---M--	200	added ('OK')	application/javascript	date:Wed,%2001%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/data-table/datatables.min.js	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/data-table/datatables.min.js	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-data.html)
15:03:12	77017/77017	---M--	200	added ('OK')	application/javascript	date:Wed,%2001%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/data-table/jszip.min.js	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/data-table/jszip.min.js	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-export.html)
15:03:13	1832/1832	---M--	200	added ('OK')	application/javascript	date:Wed,%2001%20Oct%202014%2010:10:10%20GMT	http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/data-table/buttons.print.min.js	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/assets/js/lib/data-table/buttons.print.min.js	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-export.html)
15:03:13	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/school-form.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/school-form.1f5.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-row-select.html)
15:03:13	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/ui-Images.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/ui-Images.1f6.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-row-select.html)
15:03:13	0/-1	---M--	301	error ('')			http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/email.html	C:/Users/Umer/Desktop/Abhilash%202%20Admin%20Panel/www.webstrot.com/html/webstrotadmin/bootstrap3/default/email.1f7.delayed	(from http://www.webstrot.com/html/webstrotadmin/bootstrap3/default/table-row-select.html)
